date,lowest_price,median_price,highest_price
2021-12-22,18.54,26.150000000000002,26.34
2021-12-23,18.54,26.150000000000002,26.34
2021-12-24,18.54,26.150000000000002,26.34
2021-12-25,18.54,26.150000000000002,26.34
2021-12-26,18.54,26.150000000000002,26.34
2021-12-27,18.54,26.150000000000002,26.34
2021-12-28,18.54,26.150000000000002,26.34
2021-12-29,18.54,26.150000000000002,26.34
2021-12-30,18.54,26.150000000000002,26.34
2021-12-31,18.54,26.150000000000002,26.34
2022-01-01,18.54,26.150000000000002,26.34
2022-01-02,18.54,26.150000000000002,26.34
2022-01-03,18.54,26.150000000000002,26.34
2022-01-04,18.54,26.150000000000002,26.34
2022-01-05,18.54,26.150000000000002,26.34
2022-01-06,18.54,26.150000000000002,26.34
2022-01-07,18.54,26.150000000000002,26.34
2022-01-08,18.54,26.150000000000002,26.34
2022-01-09,18.54,26.150000000000002,26.34
2022-01-10,18.54,26.150000000000002,26.34
2022-01-11,18.54,26.150000000000002,26.34
2022-01-12,18.54,26.150000000000002,26.34
2022-01-13,18.54,26.150000000000002,26.34
2022-01-14,18.54,26.150000000000002,26.34
2022-01-15,18.54,26.150000000000002,26.34
2022-01-16,18.54,26.150000000000002,26.34
2022-01-17,18.54,26.150000000000002,26.34
2022-01-18,18.54,26.150000000000002,26.34
2022-01-19,18.54,26.150000000000002,26.34
2022-01-20,18.54,26.150000000000002,26.34
2022-01-21,3.0,19.16,40.0
2022-01-22,15.431999999999999,24.752000000000002,29.072000000000003
2022-01-23,15.431999999999999,24.752000000000002,29.072000000000003
2022-01-24,15.431999999999999,24.752000000000002,29.072000000000003
2022-01-25,15.431999999999999,24.752000000000002,29.072000000000003
2022-01-26,15.431999999999999,24.752000000000002,29.072000000000003
2022-01-27,3.33,4.67,6.0
2022-01-28,13.415000000000001,21.405,25.22666666666667
2022-01-29,13.415000000000001,21.405,25.22666666666667
2022-01-30,13.415000000000001,21.405,25.22666666666667
2022-01-31,13.415000000000001,21.405,25.22666666666667
2022-02-01,13.415000000000001,21.405,25.22666666666667
2022-02-02,2.5,12.25,59.78
2022-02-03,11.855714285714287,20.09714285714286,30.162857142857142
2022-02-04,11.855714285714287,20.09714285714286,30.162857142857142
2022-02-05,11.855714285714287,20.09714285714286,30.162857142857142
2022-02-06,11.855714285714287,20.09714285714286,30.162857142857142
2022-02-07,11.855714285714287,20.09714285714286,30.162857142857142
2022-02-08,11.855714285714287,20.09714285714286,30.162857142857142
2022-02-09,11.855714285714287,20.09714285714286,30.162857142857142
2022-02-10,11.855714285714287,20.09714285714286,30.162857142857142
2022-02-11,11.855714285714287,20.09714285714286,30.162857142857142
2022-02-12,11.855714285714287,20.09714285714286,30.162857142857142
2022-02-13,11.855714285714287,20.09714285714286,30.162857142857142
2022-02-14,11.855714285714287,20.09714285714286,30.162857142857142
2022-02-15,9.77,14.13,29.35
2022-02-16,11.595,19.35125,30.06125
2022-02-17,11.595,19.35125,30.06125
2022-02-18,11.595,19.35125,30.06125
2022-02-19,11.595,19.35125,30.06125
2022-02-20,11.595,19.35125,30.06125
2022-02-21,11.595,19.35125,30.06125
2022-02-22,11.595,19.35125,30.06125
2022-02-23,11.595,19.35125,30.06125
2022-02-24,11.595,19.35125,30.06125
2022-02-25,11.595,19.35125,30.06125
2022-02-26,11.595,19.35125,30.06125
2022-02-27,11.595,19.35125,30.06125
2022-02-28,11.595,19.35125,30.06125
2022-03-01,11.595,19.35125,30.06125
2022-03-02,11.595,19.35125,30.06125
2022-03-03,11.595,19.35125,30.06125
2022-03-04,11.595,19.35125,30.06125
2022-03-05,11.595,19.35125,30.06125
2022-03-06,11.595,19.35125,30.06125
2022-03-07,11.595,19.35125,30.06125
2022-03-08,11.595,19.35125,30.06125
2022-03-09,11.595,19.35125,30.06125
2022-03-10,11.595,19.35125,30.06125
2022-03-11,11.595,19.35125,30.06125
2022-03-12,11.595,19.35125,30.06125
2022-03-13,11.595,19.35125,30.06125
2022-03-14,11.595,19.35125,30.06125
2022-03-15,11.595,19.35125,30.06125
2022-03-16,11.595,19.35125,30.06125
2022-03-17,11.595,19.35125,30.06125
2022-03-18,11.595,19.35125,30.06125
2022-03-19,11.595,19.35125,30.06125
2022-03-20,11.595,19.35125,30.06125
2022-03-21,11.595,19.35125,30.06125
2022-03-22,11.595,19.35125,30.06125
2022-03-23,11.595,19.35125,30.06125
2022-03-24,11.595,19.35125,30.06125
2022-03-25,11.595,19.35125,30.06125
2022-03-26,11.595,19.35125,30.06125
2022-03-27,11.595,19.35125,30.06125
2022-03-28,11.595,19.35125,30.06125
2022-03-29,11.595,19.35125,30.06125
2022-03-30,11.595,19.35125,30.06125
2022-03-31,11.595,19.35125,30.06125
2022-04-01,11.595,19.35125,30.06125
2022-04-02,11.595,19.35125,30.06125
2022-04-03,11.595,19.35125,30.06125
2022-04-04,11.595,19.35125,30.06125
2022-04-05,11.595,19.35125,30.06125
2022-04-06,11.595,19.35125,30.06125
2022-04-07,11.595,19.35125,30.06125
2022-04-08,11.595,19.35125,30.06125
2022-04-09,11.595,19.35125,30.06125
2022-04-10,11.595,19.35125,30.06125
2022-04-11,11.595,19.35125,30.06125
2022-04-12,11.595,19.35125,30.06125
2022-04-13,11.595,19.35125,30.06125
2022-04-14,11.595,19.35125,30.06125
2022-04-15,11.595,19.35125,30.06125
2022-04-16,11.595,19.35125,30.06125
2022-04-17,11.595,19.35125,30.06125
2022-04-18,11.595,19.35125,30.06125
2022-04-19,11.595,19.35125,30.06125
2022-04-20,11.595,19.35125,30.06125
2022-04-21,11.595,19.35125,30.06125
2022-04-22,11.595,19.35125,30.06125
2022-04-23,11.595,19.35125,30.06125
2022-04-24,11.595,19.35125,30.06125
2022-04-25,11.595,19.35125,30.06125
2022-04-26,11.595,19.35125,30.06125
2022-04-27,11.595,19.35125,30.06125
2022-04-28,11.595,19.35125,30.06125
2022-04-29,11.595,19.35125,30.06125
2022-04-30,11.595,19.35125,30.06125
2022-05-01,11.595,19.35125,30.06125
2022-05-02,11.595,19.35125,30.06125
2022-05-03,11.595,19.35125,30.06125
2022-05-04,11.595,19.35125,30.06125
2022-05-05,11.595,19.35125,30.06125
2022-05-06,11.595,19.35125,30.06125
2022-05-07,11.595,19.35125,30.06125
2022-05-08,11.595,19.35125,30.06125
2022-05-09,11.595,19.35125,30.06125
2022-05-10,11.595,19.35125,30.06125
2022-05-11,11.595,19.35125,30.06125
2022-05-12,11.595,19.35125,30.06125
2022-05-13,11.595,19.35125,30.06125
2022-05-14,11.595,19.35125,30.06125
2022-05-15,11.595,19.35125,30.06125
2022-05-16,11.595,19.35125,30.06125
2022-05-17,11.595,19.35125,30.06125
2022-05-18,11.595,19.35125,30.06125
2022-05-19,11.595,19.35125,30.06125
2022-05-20,11.595,19.35125,30.06125
2022-05-21,11.595,19.35125,30.06125
2022-05-22,11.595,19.35125,30.06125
2022-05-23,11.595,19.35125,30.06125
2022-05-24,11.595,19.35125,30.06125
2022-05-25,11.595,19.35125,30.06125
2022-05-26,11.595,19.35125,30.06125
2022-05-27,11.595,19.35125,30.06125
2022-05-28,11.595,19.35125,30.06125
2022-05-29,11.595,19.35125,30.06125
2022-05-30,11.595,19.35125,30.06125
2022-05-31,11.595,19.35125,30.06125
2022-06-01,1.0,1.7,3.98
2022-06-02,10.41777777777778,17.39,27.163333333333334
2022-06-03,10.41777777777778,17.39,27.163333333333334
2022-06-04,10.41777777777778,17.39,27.163333333333334
2022-06-05,10.41777777777778,17.39,27.163333333333334
2022-06-06,10.41777777777778,17.39,27.163333333333334
2022-06-07,10.41777777777778,17.39,27.163333333333334
2022-06-08,10.41777777777778,17.39,27.163333333333334
2022-06-09,10.41777777777778,17.39,27.163333333333334
2022-06-10,10.41777777777778,17.39,27.163333333333334
2022-06-11,10.41777777777778,17.39,27.163333333333334
2022-06-12,10.41777777777778,17.39,27.163333333333334
2022-06-13,10.41777777777778,17.39,27.163333333333334
2022-06-14,10.41777777777778,17.39,27.163333333333334
2022-06-15,10.41777777777778,17.39,27.163333333333334
2022-06-16,10.41777777777778,17.39,27.163333333333334
2022-06-17,10.41777777777778,17.39,27.163333333333334
2022-06-18,10.41777777777778,17.39,27.163333333333334
2022-06-19,10.41777777777778,17.39,27.163333333333334
2022-06-20,10.41777777777778,17.39,27.163333333333334
2022-06-21,10.41777777777778,17.39,27.163333333333334
2022-06-22,10.41777777777778,17.39,27.163333333333334
2022-06-23,10.41777777777778,17.39,27.163333333333334
2022-06-24,10.41777777777778,17.39,27.163333333333334
2022-06-25,10.41777777777778,17.39,27.163333333333334
2022-06-26,10.41777777777778,17.39,27.163333333333334
2022-06-27,10.41777777777778,17.39,27.163333333333334
2022-06-28,10.41777777777778,17.39,27.163333333333334
2022-06-29,10.41777777777778,17.39,27.163333333333334
2022-06-30,10.41777777777778,17.39,27.163333333333334
2022-07-01,10.41777777777778,17.39,27.163333333333334
2022-07-02,10.41777777777778,17.39,27.163333333333334
2022-07-03,10.41777777777778,17.39,27.163333333333334
2022-07-04,10.41777777777778,17.39,27.163333333333334
2022-07-05,10.41777777777778,17.39,27.163333333333334
2022-07-06,10.41777777777778,17.39,27.163333333333334
2022-07-07,10.41777777777778,17.39,27.163333333333334
2022-07-08,10.41777777777778,17.39,27.163333333333334
2022-07-09,10.41777777777778,17.39,27.163333333333334
2022-07-10,10.41777777777778,17.39,27.163333333333334
2022-07-11,10.41777777777778,17.39,27.163333333333334
2022-07-12,10.41777777777778,17.39,27.163333333333334
2022-07-13,10.41777777777778,17.39,27.163333333333334
2022-07-14,10.41777777777778,17.39,27.163333333333334
2022-07-15,10.41777777777778,17.39,27.163333333333334
2022-07-16,10.41777777777778,17.39,27.163333333333334
2022-07-17,10.41777777777778,17.39,27.163333333333334
2022-07-18,10.41777777777778,17.39,27.163333333333334
2022-07-19,10.41777777777778,17.39,27.163333333333334
2022-07-20,10.41777777777778,17.39,27.163333333333334
2022-07-21,10.41777777777778,17.39,27.163333333333334
2022-07-22,10.41777777777778,17.39,27.163333333333334
2022-07-23,10.41777777777778,17.39,27.163333333333334
2022-07-24,10.41777777777778,17.39,27.163333333333334
2022-07-25,10.41777777777778,17.39,27.163333333333334
2022-07-26,10.41777777777778,17.39,27.163333333333334
2022-07-27,10.41777777777778,17.39,27.163333333333334
2022-07-28,10.41777777777778,17.39,27.163333333333334
2022-07-29,10.41777777777778,17.39,27.163333333333334
2022-07-30,10.41777777777778,17.39,27.163333333333334
2022-07-31,10.41777777777778,17.39,27.163333333333334
2022-08-01,10.41777777777778,17.39,27.163333333333334
2022-08-02,10.41777777777778,17.39,27.163333333333334
2022-08-03,10.41777777777778,17.39,27.163333333333334
2022-08-04,10.41777777777778,17.39,27.163333333333334
2022-08-05,10.41777777777778,17.39,27.163333333333334
2022-08-06,10.41777777777778,17.39,27.163333333333334
2022-08-07,10.41777777777778,17.39,27.163333333333334
2022-08-08,10.41777777777778,17.39,27.163333333333334
2022-08-09,10.41777777777778,17.39,27.163333333333334
2022-08-10,10.41777777777778,17.39,27.163333333333334
2022-08-11,10.41777777777778,17.39,27.163333333333334
2022-08-12,10.41777777777778,17.39,27.163333333333334
2022-08-13,10.41777777777778,17.39,27.163333333333334
2022-08-14,10.41777777777778,17.39,27.163333333333334
2022-08-15,10.41777777777778,17.39,27.163333333333334
2022-08-16,10.41777777777778,17.39,27.163333333333334
2022-08-17,10.41777777777778,17.39,27.163333333333334
2022-08-18,10.41777777777778,17.39,27.163333333333334
2022-08-19,10.41777777777778,17.39,27.163333333333334
2022-08-20,10.41777777777778,17.39,27.163333333333334
2022-08-21,10.41777777777778,17.39,27.163333333333334
2022-08-22,10.41777777777778,17.39,27.163333333333334
2022-08-23,10.41777777777778,17.39,27.163333333333334
2022-08-24,10.41777777777778,17.39,27.163333333333334
2022-08-25,4.89,10.87,30.43
2022-08-26,9.865,16.738,27.49
2022-08-27,9.865,16.738,27.49
2022-08-28,9.865,16.738,27.49
2022-08-29,9.865,16.738,27.49
2022-08-30,9.865,16.738,27.49
2022-08-31,9.865,16.738,27.49
2022-09-01,9.865,16.738,27.49
2022-09-02,9.865,16.738,27.49
2022-09-03,9.865,16.738,27.49
2022-09-04,9.865,16.738,27.49
2022-09-05,9.865,16.738,27.49
2022-09-06,9.865,16.738,27.49
2022-09-07,9.865,16.738,27.49
2022-09-08,9.865,16.738,27.49
2022-09-09,9.865,16.738,27.49
2022-09-10,9.865,16.738,27.49
2022-09-11,9.865,16.738,27.49
2022-09-12,9.865,16.738,27.49
2022-09-13,9.865,16.738,27.49
2022-09-14,9.865,16.738,27.49
2022-09-15,9.865,16.738,27.49
2022-09-16,9.865,16.738,27.49
2022-09-17,9.865,16.738,27.49
2022-09-18,9.865,16.738,27.49
2022-09-19,9.865,16.738,27.49
2022-09-20,9.865,16.738,27.49
2022-09-21,9.865,16.738,27.49
2022-09-22,9.865,16.738,27.49
2022-09-23,9.865,16.738,27.49
2022-09-24,9.865,16.738,27.49
2022-09-25,9.865,16.738,27.49
2022-09-26,9.865,16.738,27.49
2022-09-27,9.865,16.738,27.49
2022-09-28,9.865,16.738,27.49
2022-09-29,9.865,16.738,27.49
2022-09-30,9.865,16.738,27.49
2022-10-01,9.865,16.738,27.49
2022-10-02,9.865,16.738,27.49
2022-10-03,9.865,16.738,27.49
2022-10-04,9.865,16.738,27.49
2022-10-05,9.865,16.738,27.49
2022-10-06,9.865,16.738,27.49
2022-10-07,9.865,16.738,27.49
2022-10-08,9.865,16.738,27.49
2022-10-09,9.865,16.738,27.49
2022-10-10,9.865,16.738,27.49
2022-10-11,9.865,16.738,27.49
2022-10-12,9.865,16.738,27.49
2022-10-13,9.865,16.738,27.49
2022-10-14,9.865,16.738,27.49
2022-10-15,9.865,16.738,27.49
2022-10-16,9.865,16.738,27.49
2022-10-17,9.865,16.738,27.49
2022-10-18,9.865,16.738,27.49
2022-10-19,9.865,16.738,27.49
2022-10-20,9.865,16.738,27.49
2022-10-21,9.865,16.738,27.49
2022-10-22,9.865,16.738,27.49
